Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
222.609890	392242.087651	112103.077306	94.176197	10.413200	67.131776	7.188161	43886279.077778	2599558.638885	219805.526598	143540.682448	18625114.048308	1998652.774261	26225594.012474	1331514.337312	
223.612637	392241.470461	112102.983426	87.748860	9.734353	62.822823	6.776662	43886290.370490	2599559.674120	219805.587366	143540.831440	18625114.048308	1998652.774261	26225594.723544	1331515.049632	
224.615385	392240.895846	112102.895977	81.775933	9.100669	58.793669	6.388751	43886300.890706	2599560.644119	219805.643846	143540.970484	18625114.048308	1998652.774261	26225595.385608	1331515.712827	
225.618132	392240.360490	112102.814462	76.220739	8.508827	55.024640	6.023009	43886310.697745	2599561.553386	219805.696385	143541.100316	18625114.048308	1998652.774261	26225596.002479	1331516.330721	
226.620879	392239.861155	112102.738397	71.047326	7.955601	51.496717	5.678068	43886319.849483	2599562.406283	219805.745319	143541.221652	18625114.048308	1998652.774261	26225596.577879	1331516.907050	
227.623626	392239.394675	112102.667308	66.220463	7.437858	48.191532	5.352616	43886328.402349	2599563.207032	219805.790981	143541.335187	18625114.048308	1998652.774261	26225597.115448	1331517.445465	
228.626374	392238.957963	112102.600734	61.705643	6.952559	45.091377	5.045395	43886336.411323	2599563.959716	219805.833694	143541.441595	18625114.048308	1998652.774261	26225597.618733	1331517.949526	
229.629121	392238.548510	112102.538300	57.475321	6.497161	42.181010	4.755272	43886343.921440	2599564.667827	219805.873718	143541.541440	18625114.048308	1998652.774261	26225598.090621	1331518.422128	
230.631868	392238.165723	112102.479909	53.525251	6.070711	39.452970	4.481467	43886350.944963	2599565.332990	219805.911094	143541.634924	18625114.048308	1998652.774261	26225598.531800	1331518.863958	
231.634615	392237.808283	112102.425361	49.841743	5.671756	36.897944	4.223180	43886357.506078	2599565.957338	219805.945952	143541.722366	18625114.048308	1998652.774261	26225598.943788	1331519.276536	
232.637363	392237.474796	112102.374445	46.410063	5.298792	34.506511	3.979626	43886363.630199	2599566.543042	219805.978432	143541.804095	18625114.048308	1998652.774261	26225599.328189	1331519.661471	
233.640110	392237.163897	112102.326956	43.215736	4.950352	32.269486	3.750039	43886369.342213	2599567.092218	219806.008668	143541.880436	18625114.048308	1998652.774261	26225599.686578	1331520.020340	
234.642857	392236.874246	112102.282690	40.244551	4.625004	30.177926	3.533676	43886374.666481	2599567.606928	219806.036797	143541.951702	18625114.048308	1998652.774261	26225600.020496	1331520.354689	
